3	2	2	2	1	1933	2	9	3	2	3	3	2	3	1
3	3	3	2	2	1938	2	9	3	2	2	3	2	2	2
3	4	4	4	2	1952	2	9	3	4	2	2	2	2	2
3	3	3	3	2	1952	2	9	3	2	3	2	4	3	2
3	2	2	1	1	1988	1	9	3	4	3	2	1	2	2
3	2	2	2	2	1920	0	9	1	1	1	1	6	1	3
3	2	2	2	2	9	7	9	9	9	9	9	9	9	9
3	2	2	2	2	1956	5	32	6	2	4	6	2	2	1
3	2	2	2	2	1974	5	30	3	3	2	2	2	2	2
3	7	7	2	1	1937	6	28	6	3	4	4	1	1	2
3	3	3	3	2	1964	5	27	2	6	2	4	3	2	3
3	2	3	3	1	1964	5	27	3	3	4	3	4	2	4
3	1	1	1	1	1954	6	26	3	5	2	5	1	3	1
3	2	2	2	2	1954	5	26	2	3	2	2	2	2	2
3	2	3	3	1	1963	5	25	2	2	2	1	2	2	2
3	1	1	1	1	1962	6	24	3	3	2	4	1	3	5
3	1	1	1	1	1952	5	23	1	4	4	1	1	1	2
3	2	2	2	1	1973	5	23	3	3	5	3	2	3	2
3	2	2	3	2	1938	5	22	5	2	5	4	4	2	1
3	3	3	3	2	1941	5	22	4	2	2	2	3	3	1
3	2	2	2	1	1954	5	22	2	2	4	3	1	2	1
3	2	2	2	1	1957	5	22	4	3	4	4	3	2	2
3	1	1	1	1	1975	5	22	3	3	2	1	1	1	2
3	1	2	2	2	1976	5	22	4	3	3	3	3	3	2
3	2	2	3	1	1976	5	22	4	4	3	2	2	1	2
3	1	1	1	1	1941	5	21	9	2	2	1	2	2	1
3	2	3	3	1	1941	5	21	3	3	4	4	3	2	2
3	1	2	2	1	1945	5	21	4	2	4	3	2	2	3
3	2	2	2	2	1948	5	21	2	2	1	3	1	1	1
3	2	2	2	1	1951	5	21	5	4	4	4	1	2	3
3	2	2	2	2	1953	5	21	2	4	5	3	6	1	1
3	3	3	2	2	1958	5	21	2	4	3	4	2	2	2
3	1	2	2	1	1960	5	21	3	3	2	3	2	2	3
3	2	2	2	2	1960	5	21	3	3	2	2	1	1	2
3	2	2	2	1	1962	5	21	3	3	2	2	2	2	2
3	3	3	3	1	1962	5	21	3	2	5	2	6	3	1
3	3	3	3	1	1963	6	21	5	2	3	2	2	2	1
3	2	2	2	1	1967	5	21	2	5	3	4	2	2	2
3	2	2	2	1	1968	5	21	3	2	4	4	1	2	1
3	2	2	2	2	1969	5	21	3	4	3	3	2	2	1
3	2	2	2	1	1974	3	21	3	4	4	2	2	2	2
3	1	2	2	1	1918	5	20	2	1	1	1	1	2	2
3	3	2	3	1	1919	5	20	2	2	2	2	2	2	2
3	2	2	2	1	1935	5	20	3	3	1	3	2	3	2
3	2	2	3	2	1941	4	20	5	3	2	2	1	2	2
3	1	1	1	2	1941	5	20	4	3	3	5	2	2	2
3	2	2	2	1	1943	5	20	5	4	3	4	2	4	4
3	2	2	3	2	1946	5	20	6	4	5	5	5	4	3
3	2	2	2	1	1946	5	20	3	1	3	2	1	1	1
3	2	3	3	1	1946	5	20	3	1	1	1	3	3	2
3	2	3	3	1	1950	6	20	2	3	2	2	1	2	2
3	2	2	2	2	1952	5	20	3	4	5	5	1	1	1
3	1	1	3	1	1955	2	20	3	4	4	2	2	2	1
3	2	2	3	2	1956	5	20	5	5	4	5	2	2	2
3	1	1	1	2	1957	5	20	4	3	4	4	2	2	2
3	2	2	2	1	1959	5	20	5	5	5	3	2	2	2
3	2	1	1	1	1959	5	20	4	4	3	4	3	3	3
3	4	4	4	2	1960	5	20	3	2	2	2	3	2	2
3	2	2	2	2	1961	5	20	4	5	3	1	1	5	1
3	4	3	4	2	1961	5	20	4	2	4	3	2	2	3
3	1	1	1	1	1962	5	20	3	5	3	3	2	2	2
3	2	8	2	1	1962	5	20	2	5	6	2	1	1	1
3	1	1	1	1	1962	5	20	5	5	4	4	1	3	3
3	3	3	3	2	1964	5	20	3	2	3	2	2	2	1
3	3	3	3	2	1966	5	20	9	9	9	9	9	9	9
3	2	2	2	2	1967	5	20	5	5	4	4	2	2	3
3	1	1	1	2	1968	5	20	1	3	2	3	2	2	1
3	2	3	3	1	1968	5	20	4	2	2	3	2	3	2
3	3	2	3	1	1970	5	20	9	5	2	2	2	2	2
3	2	2	2	2	1971	5	20	4	4	1	1	2	3	1
3	2	2	2	2	1971	5	20	5	3	2	2	1	4	4
3	2	2	2	2	1972	5	20	4	3	4	3	3	1	3
3	2	4	3	2	1972	5	20	1	5	4	4	3	2	2
3	1	1	1	2	1972	6	20	3	2	2	2	2	3	2
3	1	1	2	1	1973	5	20	2	4	3	2	3	2	2
3	3	3	3	2	1973	5	20	5	3	3	3	4	3	3
3	2	2	2	1	1975	5	20	3	3	3	3	1	1	1
3	2	2	3	2	1976	5	20	3	2	3	2	2	2	2
3	1	1	1	1	1977	5	20	5	6	6	5	2	2	3
3	2	2	3	1	1923	5	19	1	1	1	2	2	2	2
3	2	2	2	1	1932	5	19	3	2	2	2	2	2	2
3	3	3	3	1	1937	5	19	2	1	2	1	1	2	1
3	2	2	2	2	1941	4	19	6	1	2	2	1	3	1
3	3	3	3	2	1942	5	19	1	6	1	1	1	1	1
3	3	3	3	1	1945	5	19	3	3	3	3	2	2	2
3	2	2	2	1	1946	5	19	2	3	2	2	2	2	2
3	2	3	3	2	1946	5	19	3	3	2	2	2	2	1
3	2	2	2	1	1946	5	19	3	5	4	5	1	1	2
3	3	3	3	2	1949	5	19	4	3	3	4	3	3	3
3	2	2	3	2	1955	5	19	4	4	3	3	2	3	2
